comparison_id,trial_id,ae_concept,analysis_tier,source_pair,percentage_1,percentage_2,absolute_percentage_difference,pair_confirmation_status,source_1_visual_status,source_2_visual_status,source_1_visual_note,source_2_visual_note,final_audit_status
FULLCOMP000003,TRIAL001,any_adverse_event,sensitivity_candidate,publication vs FDA review,99.5,99.6,0.10,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S3 with overall safety rows for the RP2D cohort.,Matched page shows Table 41 most frequent TEAEs and related FDA text.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000005,TRIAL001,dose_interruption,sensitivity_candidate,publication vs FDA review,35.3,33.3,2.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S3 with overall safety rows for the RP2D cohort.,Matched page shows Table 38 adverse events associated with dose interruption.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000040,TRIAL001,serious_adverse_event,sensitivity_candidate,publication vs FDA review,22.8,20.1,2.70,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S3 with overall safety rows for the RP2D cohort.,Matched page shows Table 35 serious adverse events in the primary studies.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000052,TRIAL002,adverse_event_leading_to_discontinuation,primary_candidate,publication vs FDA review,8.0,8.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000055,TRIAL002,adverse_event_leading_to_discontinuation,primary_candidate,publication vs FDA review,10.0,10.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000056,TRIAL002,any_adverse_event,primary_candidate,publication vs FDA review,98.0,98.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000059,TRIAL002,any_adverse_event,primary_candidate,publication vs FDA review,100.0,100.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000060,TRIAL002,dose_interruption,primary_candidate,publication vs FDA review,54.0,54.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000063,TRIAL002,dose_interruption,primary_candidate,publication vs FDA review,62.0,62.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000064,TRIAL002,dose_reduction,primary_candidate,publication vs FDA review,29.0,29.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000067,TRIAL002,dose_reduction,primary_candidate,publication vs FDA review,41.0,41.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass,"Matched page shows DREAMM-2 publication narrative with any AE, dose delay, dose reduction, and discontinuation values.",Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000073,TRIAL002,fatal_adverse_event,primary_candidate,publication vs FDA review,3.0,3.0,0.00,auto_source_confirmed,visual_audit_pass_summary_text,visual_audit_pass,Matched page shows publication summary text with fatal serious AE values.,Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000081,TRIAL002,fatal_adverse_event,primary_candidate,publication vs FDA review,7.0,7.0,0.00,auto_source_confirmed,visual_audit_pass_summary_text,visual_audit_pass,Matched page shows publication summary text with fatal serious AE values.,Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000106,TRIAL002,serious_adverse_event,sensitivity_candidate,publication vs ClinicalTrials.gov,40.0,45.263,5.26,auto_source_confirmed,visual_audit_pass_summary_text,not_applicable_or_not_sampled,Matched page shows publication summary text with serious AE values; detailed supplementary table remains available for final audit if needed.,,analysis_ready_confirmed_with_visual_audit
FULLCOMP000111,TRIAL002,serious_adverse_event,primary_candidate,publication vs FDA review,40.0,40.0,0.00,auto_source_confirmed,visual_audit_pass_summary_text,visual_audit_pass,Matched page shows publication summary text with serious AE values; detailed supplementary table remains available for final audit if needed.,Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000114,TRIAL002,serious_adverse_event,sensitivity_candidate,publication vs ClinicalTrials.gov,47.0,53.535,6.53,auto_source_confirmed,visual_audit_pass_summary_text,not_applicable_or_not_sampled,Matched page shows publication summary text with serious AE values; detailed supplementary table remains available for final audit if needed.,,analysis_ready_confirmed_with_visual_audit
FULLCOMP000119,TRIAL002,serious_adverse_event,primary_candidate,publication vs FDA review,47.0,48.0,1.00,auto_source_confirmed,visual_audit_pass_summary_text,visual_audit_pass,Matched page shows publication summary text with serious AE values; detailed supplementary table remains available for final audit if needed.,Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000120,TRIAL002,serious_adverse_event,sensitivity_candidate,ClinicalTrials.gov vs FDA review,45.263,40.0,5.26,auto_source_confirmed,not_applicable_or_not_sampled,visual_audit_pass,,Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000123,TRIAL002,serious_adverse_event,sensitivity_candidate,ClinicalTrials.gov vs FDA review,53.535,48.0,5.53,auto_source_confirmed,not_applicable_or_not_sampled,visual_audit_pass,,Matched page shows FDA Table 27 with DREAMM-2 TEAE overview values.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000131,TRIAL003,any_adverse_event,primary_candidate,publication vs FDA review,94.0,93.6,0.40,auto_source_confirmed,visual_audit_pass,visual_audit_pass_multpage_table,Matched page shows EV-201 Table A3 with treatment-related AE values.,Matched page shows continuation of Table 74; table spans adjacent FDA review pages and is supported by the text-layer confirmation.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000132,TRIAL003,any_adverse_event,primary_candidate,publication vs FDA review,100.0,100.0,0.00,auto_source_confirmed,visual_audit_pass,visual_audit_pass_multpage_table,Matched page shows EV-201 Table A4 with all-cause AE values.,Matched page shows continuation of Table 74; table spans adjacent FDA review pages and is supported by the text-layer confirmation.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000137,TRIAL003,fatal_adverse_event,primary_candidate,publication vs FDA review,0.8,0.0,0.80,auto_source_confirmed,visual_audit_pass,visual_audit_pass_multpage_table,Matched page shows EV-201 narrative text on treatment-related death outside the safety reporting period.,Matched page shows continuation of Table 74; table spans adjacent FDA review pages and is supported by the text-layer confirmation.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000143,TRIAL003,grade_3_or_higher_adverse_event,primary_candidate,publication vs FDA review,54.0,54.4,0.40,auto_source_confirmed,visual_audit_pass,visual_audit_pass_multpage_table,Matched page shows EV-201 Table A3 with treatment-related AE values.,Matched page shows continuation of Table 74; table spans adjacent FDA review pages and is supported by the text-layer confirmation.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000144,TRIAL003,grade_3_or_higher_adverse_event,primary_candidate,publication vs FDA review,73.0,72.8,0.20,auto_source_confirmed,visual_audit_pass,visual_audit_pass_multpage_table,Matched page shows EV-201 Table A4 with all-cause AE values.,Matched page shows continuation of Table 74; table spans adjacent FDA review pages and is supported by the text-layer confirmation.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000146,TRIAL003,serious_adverse_event,primary_candidate,ClinicalTrials.gov vs FDA review,47.200,46.4,0.80,auto_source_confirmed,not_applicable_or_not_sampled,visual_audit_pass_multpage_table,,Matched page shows continuation of Table 74; table spans adjacent FDA review pages and is supported by the text-layer confirmation.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000150,TRIAL004,adverse_event_leading_to_discontinuation,primary_candidate,publication vs FDA review,2.8,4.6,1.80,auto_source_confirmed,visual_audit_pass,visual_audit_pass,Matched page shows Supplementary Table S1 with discontinuation reasons in the efficacy population.,Matched page contains the FDA reviewer text on permanent discontinuation due to TEAEs.,analysis_ready_confirmed_with_visual_audit
FULLCOMP000259,TRIAL014,serious_adverse_event,primary_candidate,publication vs ClinicalTrials.gov,32.8,32.800,0.00,auto_source_confirmed,visual_audit_pass,not_applicable_or_not_sampled,Matched page shows Supplementary Table S7 with serious AE rows for both arms.,,analysis_ready_confirmed_with_visual_audit
FULLCOMP000262,TRIAL014,serious_adverse_event,primary_candidate,publication vs ClinicalTrials.gov,39.3,39.331,0.03,auto_source_confirmed,visual_audit_pass,not_applicable_or_not_sampled,Matched page shows Supplementary Table S7 with serious AE rows for both arms.,,analysis_ready_confirmed_with_visual_audit
