simulation_record_id,trial_id,short_trial_name,safety_concept,source_pair,five_state_status_current,simulated_reviewer_A_decision,simulated_reviewer_B_decision,simulated_agreement,resolution_for_stress_test,simulation_note
SIMSTRATA001,TRIAL001,DESTINY-Breast01,any_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA002,TRIAL001,DESTINY-Breast01,grade_3_or_higher_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA003,TRIAL001,DESTINY-Breast01,serious_adverse_event,publication vs FDA review,comparable_but_discordant,sensitivity_comparable,sensitivity_comparable,yes,sensitivity_comparable,Simulated reviewers agree.
SIMSTRATA004,TRIAL001,DESTINY-Breast01,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA005,TRIAL001,DESTINY-Breast01,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA006,TRIAL001,DESTINY-Breast01,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA007,TRIAL001,DESTINY-Breast01,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA008,TRIAL001,DESTINY-Breast01,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA009,TRIAL001,DESTINY-Breast01,adverse_event_leading_to_discontinuation,publication vs FDA review,reported_but_non_comparable,non_comparable,sensitivity_comparable,no,retain_current_project_classification,Simulated reviewer B treated this as borderline sensitivity-comparable.
SIMSTRATA010,TRIAL001,DESTINY-Breast01,dose_interruption,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA011,TRIAL001,DESTINY-Breast01,dose_reduction,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA012,TRIAL002,DREAMM-2,any_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA013,TRIAL002,DREAMM-2,serious_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA014,TRIAL002,DREAMM-2,serious_adverse_event,publication vs ClinicalTrials.gov,comparable_but_discordant,sensitivity_comparable,sensitivity_comparable,yes,sensitivity_comparable,Simulated reviewers agree.
SIMSTRATA015,TRIAL002,DREAMM-2,serious_adverse_event,FDA review vs ClinicalTrials.gov,comparable_but_discordant,sensitivity_comparable,sensitivity_comparable,yes,sensitivity_comparable,Simulated reviewers agree.
SIMSTRATA016,TRIAL002,DREAMM-2,fatal_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA017,TRIAL002,DREAMM-2,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA018,TRIAL002,DREAMM-2,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA019,TRIAL002,DREAMM-2,adverse_event_leading_to_discontinuation,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA020,TRIAL002,DREAMM-2,dose_interruption,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA021,TRIAL002,DREAMM-2,dose_reduction,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA022,TRIAL003,EV-201,any_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA023,TRIAL003,EV-201,grade_3_or_higher_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA024,TRIAL003,EV-201,serious_adverse_event,FDA review vs ClinicalTrials.gov,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA025,TRIAL003,EV-201,fatal_adverse_event,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA026,TRIAL003,EV-201,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA027,TRIAL003,EV-201,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA028,TRIAL004,IMMU-132-01,any_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA029,TRIAL004,IMMU-132-01,grade_3_or_higher_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA030,TRIAL004,IMMU-132-01,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA031,TRIAL004,IMMU-132-01,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA032,TRIAL004,IMMU-132-01,adverse_event_leading_to_discontinuation,publication vs FDA review,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA033,TRIAL005,ASCENT,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA034,TRIAL005,ASCENT,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA035,TRIAL006,ALFA-0701,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA036,TRIAL007,SG035-0003,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA037,TRIAL008,SG035-0004,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA038,TRIAL009,EMILIA,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA039,TRIAL009,EMILIA,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA040,TRIAL011,GO29365,serious_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA041,TRIAL011,GO29365,fatal_adverse_event,publication vs FDA review,reported_but_non_comparable,non_comparable,sensitivity_comparable,no,retain_current_project_classification,Simulated reviewer B treated this as borderline sensitivity-comparable.
SIMSTRATA042,TRIAL011,GO29365,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA043,TRIAL011,GO29365,fatal_adverse_event,FDA review vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA044,TRIAL011,GO29365,dose_reduction,publication vs FDA review,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA045,TRIAL012,LOTIS-2,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA046,TRIAL012,LOTIS-2,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA047,TRIAL013,innovaTV 204,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA048,TRIAL014,innovaTV 301,serious_adverse_event,publication vs ClinicalTrials.gov,comparable_and_concordant,primary_comparable,primary_comparable,yes,primary_comparable,Simulated reviewers agree.
SIMSTRATA049,TRIAL014,innovaTV 301,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA050,TRIAL015,SORAYA,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA051,TRIAL015,SORAYA,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA052,TRIAL019,TROPION-Breast01,serious_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
SIMSTRATA053,TRIAL020,TROPION-Lung05,fatal_adverse_event,publication vs ClinicalTrials.gov,reported_but_non_comparable,non_comparable,non_comparable,yes,non_comparable,Simulated reviewers agree.
